shelfarea,distancetoexit,cannedgoods,othergoods,icecream,floordiff,traveltime,ftewovertime
71.77,2841.73,1237.408168,1237.408168,0,0,0,35760
71.77,2841.73,1049.769332,1049.769332,0,0,0,35760
71.77,2841.73,780.2503325,780.2503325,0,0,0,24240
71.77,2841.73,929.1683434,929.1683434,0,0,0,47280
71.77,2841.73,1300.731888,1300.731888,0,0,0,35760
71.77,2841.73,341.8558896,341.8558896,0,0,0,24240
71.77,2841.73,571.8556795,571.8556795,0,0,0,35760
71.77,2841.73,393.6386031,393.6386031,0,0,0,35760
71.77,2841.73,1242.377703,1242.377703,0,0,0,47280
71.77,2841.73,1116.186896,1116.186896,0,0,0,24240
71.77,2841.73,595.1588837,595.1588837,0,0,0,24240
71.77,2841.73,725.7671529,725.7671529,0,0,0,35760
71.77,2841.73,1132.021614,1132.021614,0,0,0,58800
71.77,2841.73,842.7833024,842.7833024,0,0,0,47280
71.77,2841.73,1190.175151,1190.175151,0,0,0,35760
71.77,2841.73,619.3245713,619.3245713,0,0,0,35760
71.77,2841.73,784.3169222,784.3169222,0,0,0,47280
71.77,2841.73,998.8197931,998.8197931,0,0,0,47280
71.77,2841.73,465.6558853,465.6558853,0,0,0,24240
71.77,2841.73,1346.371943,1346.371943,0,0,0,47280
71.77,2841.73,432.1111547,432.1111547,0,0,0,24240
71.77,2841.73,1467.457097,1467.457097,0,0,0,47280
71.77,2841.73,311.9417309,311.9417309,0,0,0,24240
71.77,2841.73,202.6819527,202.6819527,0,0,0,24240
71.77,2841.73,1201.350041,1201.350041,0,0,0,47280
71.77,2841.73,183.8876603,183.8876603,0,0,0,24240
71.77,2841.73,246.6498344,246.6498344,0,0,0,24240
71.77,2841.73,149.2493767,149.2493767,0,0,0,24240
71.77,2841.73,438.4889965,438.4889965,0,0,0,24240
71.77,2841.73,847.9871595,847.9871595,0,0,0,47280
71.77,2841.73,551.0339153,551.0339153,0,0,0,35760
71.77,2841.73,610.0445608,610.0445608,0,0,0,24240
71.77,2841.73,1669.595281,1669.595281,0,0,0,58800
71.77,2841.73,989.6299386,989.6299386,0,0,0,47280
71.77,2841.73,3018.452844,3018.452844,0,0,0,81840
71.77,2841.73,747.513295,747.513295,0,0,0,35760
71.77,2841.73,906.138719,906.138719,0,0,0,24240
71.77,2841.73,2691.767883,2691.767883,0,0,0,47280
71.77,2841.73,848.1169265,848.1169265,0,0,0,35760
71.77,2841.73,709.4143185,709.4143185,0,0,0,24240
71.77,2841.73,895.7344576,895.7344576,0,0,0,47280
71.77,2841.73,2323.168933,2323.168933,0,0,0,70320
71.77,2841.73,709.9756077,709.9756077,0,0,0,35760
71.77,2841.73,435.3326763,435.3326763,0,0,0,35760
71.77,2841.73,435.3326763,435.3326763,0,0,0,35760
71.77,2841.73,1208.960974,1208.960974,0,0,0,47280
71.77,2841.73,814.972072,814.972072,0,0,0,24240
71.77,2841.73,2015.022115,2015.022115,0,0,0,70320
71.77,2841.73,350.8965321,350.8965321,0,0,0,24240
71.77,2841.73,751.6799668,751.6799668,0,0,0,35760
71.77,2841.73,767.5325826,767.5325826,0,0,0,47280
71.77,2841.73,4154.172257,4154.172257,0,0,0,104880
71.77,2841.73,1163.668152,1163.668152,0,0,0,47280
71.77,2841.73,2897.617423,2897.617423,0,0,0,70320
71.77,2841.73,1919.695393,1919.695393,0,0,0,70320
71.77,2841.73,782.3732947,782.3732947,0,0,0,47280
71.77,2841.73,1576.649381,1576.649381,0,0,0,47280
71.77,2841.73,2338.95977,2338.95977,0,0,0,70320
71.77,2841.73,295.0508217,295.0508217,0,0,0,24240
71.77,2841.73,1334.711167,1334.711167,0,0,0,47280
71.77,2841.73,900.922657,900.922657,0,0,0,35760
71.77,2841.73,2313.142642,2313.142642,0,0,0,70320
71.77,2841.73,1693.132094,1693.132094,0,0,0,47280
71.77,2841.73,583.1303108,583.1303108,0,0,0,24240
71.77,2841.73,200.2305175,200.2305175,0,0,0,24240
71.77,2841.73,773.3707039,773.3707039,0,0,0,35760
71.77,2841.73,2076.371672,2076.371672,0,0,0,70320
71.77,2841.73,1811.925701,1811.925701,0,0,0,47280
71.77,2841.73,2365.886854,2365.886854,0,0,0,70320
71.77,2841.73,2550.394161,2550.394161,0,0,0,58800
71.77,2841.73,1844.36422,1844.36422,0,0,0,70320
71.77,2841.73,1948.770743,1948.770743,0,0,0,70320
71.77,2841.73,482.5684002,482.5684002,0,0,0,35760
71.77,2841.73,722.4675337,722.4675337,0,0,0,35760
71.77,2841.73,1872.70967,1872.70967,0,0,0,58800
71.77,2841.73,312.2893379,312.2893379,0,0,0,35760
71.77,2841.73,1411.751907,1411.751907,0,0,0,35760
71.77,2841.73,2644.372339,2644.372339,0,0,0,93360
71.77,2841.73,2242.401051,2242.401051,0,0,0,70320
71.77,2841.73,1788.857353,1788.857353,0,0,0,47280
71.77,2841.73,2087.843298,2087.843298,0,0,0,93360
71.77,2841.73,3023.548222,3023.548222,0,0,0,58800
71.77,2841.73,1600.044305,1600.044305,0,0,0,58800
71.77,2841.73,1218.576843,1218.576843,0,0,0,70320
71.77,2841.73,1949.174124,1949.174124,0,0,0,58800
71.77,2841.73,2449.661223,2449.661223,0,0,0,81840
71.77,2841.73,1875.568909,1875.568909,0,0,0,47280
71.77,2841.73,1233.402872,1233.402872,0,0,0,47280
71.77,2841.73,1550.105779,1550.105779,0,0,0,47280
71.77,2841.73,537.6757444,537.6757444,0,0,0,35760
71.77,2841.73,3867.356457,3867.356457,0,0,0,93360
71.77,2841.73,1435.393228,1435.393228,0,0,0,47280
71.77,2841.73,1920.351423,1920.351423,0,0,0,47280
71.77,2841.73,1544.134401,1544.134401,0,0,0,47280
71.77,2841.73,2021.176846,2021.176846,0,0,0,58800
71.77,2841.73,1112.251781,1112.251781,0,0,0,35760
71.77,2841.73,893.3684803,893.3684803,0,0,0,35760
